# BGP Country Signatures
# Format: country_code,score_type,points,comment
# Based on hosting costs and GDP per capita

# Very expensive hosting (premium tier)
CH,budget,3,Switzerland (very expensive hosting)
NO,budget,3,Norway (expensive)
DK,budget,2,Denmark (expensive)
SE,budget,2,Sweden (expensive)
FI,budget,2,Finland (expensive)
IS,budget,2,Iceland (expensive)

# Expensive Western hosting
US,budget,2,United States (expensive)
GB,budget,2,United Kingdom (expensive)
DE,budget,2,Germany (expensive)
NL,budget,2,Netherlands (moderate-expensive)
FR,budget,1,France (moderate)
CA,budget,2,Canada (expensive)
AU,budget,2,Australia (expensive)
NZ,budget,2,New Zealand (expensive)
JP,budget,2,Japan (expensive)
SG,budget,2,Singapore (expensive)
HK,budget,2,Hong Kong (expensive)
KR,budget,2,South Korea (expensive)

# Moderate cost hosting
IE,budget,1,Ireland (AWS/Google EU hub)
BE,budget,1,Belgium (moderate)
AT,budget,1,Austria (moderate)
IT,budget,1,Italy (moderate)
ES,budget,1,Spain (moderate)
PT,budget,1,Portugal (moderate)
CZ,budget,1,Czech Republic (moderate)
PL,budget,1,Poland (moderate)
IL,budget,1,Israel (tech hub)

# Budget hosting (Eastern Europe)
RO,budget,0,Romania (cheap hosting)
BG,budget,0,Bulgaria (cheap)
LV,budget,0,Latvia (cheap)
LT,budget,0,Lithuania (cheap)
EE,budget,0,Estonia (cheap)
UA,budget,-1,Ukraine (very cheap war concerns)
RU,budget,-1,Russia (cheap sanctions risk)

# Budget hosting (Asia)
IN,budget,0,India (cheap)
CN,budget,0,China (cheap but restrictions)
TH,budget,0,Thailand (cheap)
VN,budget,-1,Vietnam (cheap)
PH,budget,-1,Philippines (cheap)
ID,budget,0,Indonesia (cheap)
MY,budget,0,Malaysia (cheap)
PK,budget,-1,Pakistan (very cheap)

# Budget hosting (South America)
BR,budget,0,Brazil (moderate)
AR,budget,-1,Argentina (cheap unstable)
CL,budget,0,Chile (moderate)
MX,budget,0,Mexico (cheap)
CO,budget,-1,Colombia (cheap)

# Budget hosting (Africa)
ZA,budget,0,South Africa (moderate)
NG,budget,-1,Nigeria (cheap)
KE,budget,-1,Kenya (cheap)
EG,budget,-1,Egypt (cheap)

# Middle East
AE,budget,1,UAE (moderate-expensive)
SA,budget,1,Saudi Arabia (moderate)
QA,budget,1,Qatar (moderate)
TR,budget,0,Turkey (moderate)

# Oceania
FJ,budget,0,Fiji (remote expensive)

# Data residency/compliance signals
US,security,1,US data residency
GB,security,1,UK data residency
DE,security,2,Germany (GDPR strict)
FR,security,1,France (GDPR)
NL,security,1,Netherlands (GDPR)
IE,security,1,Ireland (EU hub GDPR)
CH,security,2,Switzerland (privacy focus)
RU,security,-2,Russia (sanctions risk)
CN,security,-1,China (data concerns)
