# HTTP Content-Type Signatures
# Format: pattern,score_type,points,comment

# API responses (technical sophistication)
application/json,web,3,JSON API endpoint
application/json,budget,2,API product
application/xml,web,2,XML API (legacy)
application/graphql,web,4,GraphQL API
text/xml,web,2,SOAP/XML service
application/vnd.api+json,web,3,JSON:API spec
application/hal+json,web,3,HAL format
application/ld+json,web,3,JSON-LD (semantic)

# Standard web content
text/html,web,0,Standard HTML website
text/plain,web,0,Plain text

# Rich media/assets
application/javascript,web,1,JavaScript
text/javascript,web,1,JavaScript
text/css,web,0,CSS
image/jpeg,web,0,Image
image/png,web,0,Image
image/webp,web,1,WebP (modern)
image/avif,web,2,AVIF (cutting-edge)
image/svg+xml,web,1,SVG

# Streaming/media
video/mp4,web,1,Video content
audio/mpeg,web,1,Audio content
application/x-mpegurl,web,2,HLS streaming
application/dash+xml,web,2,DASH streaming

# Documents
application/pdf,web,0,PDF document
application/msword,web,0,Word document
application/vnd.openxmlformats,web,0,Office document

# Data formats
text/csv,web,1,CSV export
application/octet-stream,web,0,Binary download

# Server-sent events/websockets
text/event-stream,web,3,Server-sent events
application/websocket,web,3,WebSocket

# Empty/blocked
empty,web,-1,No content type (blocked?)
missing,web,-1,Missing content type
