pattern,name
react,React
data-react,React
data-reactroot,React
data-reactid,React
__react,React
_reactlistening,React
react-,React
__next,Next.js
_next,Next.js
next.js,Next.js
nuxt,Nuxt
__nuxt,Nuxt
__NUXT__,Nuxt
vue,Vue
data-v-,Vue
data-vue,Vue
__vue,Vue
vuepress,VuePress
angular,Angular
ng-version,Angular
ng-app,Angular
ng-controller,Angular
data-ng-,Angular
svelte,Svelte
data-svelte,Svelte
svelte-,Svelte
htmx,HTMX
alpine,Alpine.js
@alpinejs,Alpine.js
ember,Ember
ember.js,Ember
backbone,Backbone
backbone.js,Backbone
knockout,Knockout
meteor,Meteor
aurelia,Aurelia
jquery,jQuery
jquery.min.js,jQuery
bootstrap,Bootstrap
bootstrap.min.css,Bootstrap
bootstrap.bundle,Bootstrap
bulma,Bulma
tailwind,Tailwind
tailwindcss,Tailwind
foundation,Foundation
materialize,Materialize
semantic-ui,Semantic UI
uikit,UIKit
milligram,Milligram
skeleton,Skeleton
tachyons,Tachyons
wp-content,WordPress
wp-includes,WordPress
wordpress,WordPress
/wp-json/,WordPress
/wp-admin,WordPress
/wp-login,WordPress
woocommerce,WooCommerce
wc-ajax,WooCommerce
elementor,Elementor
wp-rocket,WP Rocket
yoast,Yoast SEO
rank math,Rank Math
all in one seo,All in One SEO
shopify.com,Shopify
cdn.shopify.com,Shopify
myshopify.com,Shopify
myshopify,Shopify
cdn.shopify,Shopify
shopify-features,Shopify
shopify-buy,Shopify
magento,Magento
mage/,Magento
mage/cookies,Magento
prestashop,PrestaShop
modules/prestashop,PrestaShop
opencart,OpenCart
catalog/view/theme,OpenCart
bigcommerce,BigCommerce
bigcommerce.com,BigCommerce
volusion,Volusion
3dcart,3dcart
ecwid,Ecwid
lightspeed,Lightspeed
commercejs,CommerceJS
snipcart,Snipcart
foxy,FoxyCart
foxycart,FoxyCart
drupal,Drupal
sites/default,Drupal
/sites/default/files,Drupal
/core/,Drupal
joomla,Joomla
/components/com_,Joomla
option=com_,Joomla
typo3,TYPO3
contao,Contao
craft cms,Craft CMS
craftcms,Craft CMS
concrete5,Concrete5
dotcms,dotCMS
kentico,Kentico
sitefinity,Sitefinity
umbraco,Umbraco
episerver,Episerver
sitecore,Sitecore
akeneo,Akeneo
wix.com,Wix
wixstatic,Wix
wix-code,Wix
parastorage.com,Wix
static.wixstatic.com,Wix
wix-ecom,Wix
squarespace,Squarespace
sqsp.com,Squarespace
ss-assets,Squarespace
static1.squarespace.com,Squarespace
squarespace-cdn,Squarespace
squarespace-commerce,Squarespace
weebly,Weebly
webflow,Webflow
uploads-ssl.webflow.com,Webflow
framer,Framer
sites.framer.com,Framer
readymag,Readymag
tilda,Tilda
carrd,Carrd
strikingly,Strikingly
jimdo,Jimdo
ionos,IONOS
godaddy,GoDaddy
yola,Yola
duda,Duda
ucraft,uCraft
ghost,Ghost
ghost.min.js,Ghost
hugo,Hugo
jekyll,Jekyll
_layouts,Jekyll
eleventy,Eleventy
astro,Astro
astro-island,Astro
remix,Remix
remix.run,Remix
solidjs,SolidJS
qwik,Qwik
qwik.js,Qwik
preact,Preact
gatsby,Gatsby
___gatsby,Gatsby
gatsby-plugin,Gatsby
gridsome,Gridsome
vitepress,VitePress
docusaurus,Docusaurus
mkdocs,MkDocs
django,Django
csrfmiddlewaretoken,Django
flask,Flask
werkzeug,Flask
fastapi,FastAPI
/docs#/,FastAPI
express,Express
x-powered-by: express,Express
koa,Koa
x-powered-by: koa,Koa
nestjs,NestJS
@nestjs,NestJS
laravel,Laravel
laravel_session,Laravel
symfony,Symfony
symfony/,Symfony
rails,Rails
x-powered-by: phusion,Rails
spring,Spring
x-application-context,Spring
asp.net,ASP.NET
__viewstate,ASP.NET
x-powered-by: asp.net,ASP.NET
x-aspnet-version,ASP.NET
graphql,GraphQL
/graphql,GraphQL
apollo,Apollo GraphQL
hasura,Hasura
swagger,Swagger
swagger-ui,Swagger
openapi,OpenAPI
postman,Postman
restful,REST API
json api,JSON API
webpack,Webpack
webpack:///,Webpack
vite,Vite
/@vite/,Vite
parcel,Parcel
rollup,Rollup
esbuild,ESBuild
turbopack,Turbopack
snowpack,Snowpack
browserify,Browserify
gulp,Gulp
grunt,Grunt
typescript,TypeScript
babel,Babel
eslint,ESLint
prettier,Prettier
jest,Jest
__coverage__,Jest
cypress,Cypress
__cypress,Cypress
playwright,Playwright
@playwright,Playwright
storybook,Storybook
recharts,Recharts
recharts.js,Recharts
chart.js,Chart.js
chartjs,Chart.js
highcharts,Highcharts
d3.js,D3.js
d3.min.js,D3.js
three.js,Three.js
threejs,Three.js
gsap,GSAP
anime.js,Anime.js
plotly,Plotly
echarts,ECharts
mapbox,Mapbox
leaflet,Leaflet
select2,Select2
chosen,Chosen
flatpickr,Flatpickr
pikaday,Pikaday
slick,Slick Carousel
swiper,Swiper
owl.carousel,Owl Carousel
lightbox,Lightbox
fancybox,Fancybox
photoswipe,PhotoSwipe
redis,Redis
mongodb,MongoDB
mongodb.com,MongoDB
postgresql,PostgreSQL
postgres,PostgreSQL
mysql,MySQL
mariadb,MariaDB
cassandra,Cassandra
elasticsearch,Elasticsearch
elastic.co,Elasticsearch
algolia,Algolia
cdn.algolia.net,Algolia
meilisearch,Meilisearch
typesense,Typesense
socket.io,Socket.IO
socket.io.js,Socket.IO
pusher,Pusher
pusher.com,Pusher
ably,Ably
ably.io,Ably
firebase,Firebase
firebaseapp.com,Firebase
__firebase,Firebase
firebase.googleapis.com,Firebase
supabase,Supabase
supabase.co,Supabase
planetscale,PlanetScale
cockroachdb,CockroachDB
appwrite,Appwrite
pocketbase,PocketBase
sanity,Sanity
contentful,Contentful
cdn.contentful.com,Contentful
strapi,Strapi
strapi.io,Strapi
directus,Directus
hygraph,Hygraph
prismic,Prismic
keystonejs,KeystoneJS
payload,Payload CMS
tina,TinaCMS
builder.io,Builder.io
auth0,Auth0
auth0.com,Auth0
clerk,Clerk
clerk.com,Clerk
clerk.dev,Clerk
supertokens,SuperTokens
lucia,Lucia
next-auth,NextAuth
nextauth,NextAuth
keycloak,Keycloak
okta,Okta
okta.com,Okta
cognito,AWS Cognito
amazoncognito.com,AWS Cognito
passport,Passport.js
hello.js,Hello.js
goth,Goth
omniauth,OmniAuth
devise,Devise
authlogic,Authlogic
clearance,Clearance
sentinel,Sentinel
jwt,JWT
oauth,OAuth
saml,SAML
openid,OpenID
ldap,LDAP
kerberos,Kerberos
casbin,Casbin
casl,CASL
pundit,Pundit
cancancan,CanCanCan
sentry,Sentry
sentry-cdn.com,Sentry
browser.sentry-cdn.com,Sentry
bugsnag,Bugsnag
rollbar,Rollbar
cdn.rollbar.com,Rollbar
datadog,Datadog
datadoghq,Datadog
datadoghq-browser-agent,Datadog
newrelic,New Relic
new relic,New Relic
js-agent.newrelic.com,New Relic
prometheus,Prometheus
/metrics,Prometheus
grafana,Grafana
grafana.com,Grafana
kibana,Kibana
logstash,Logstash
fluentd,Fluentd
winston,Winston
